Date,Total Assets,Total Liabilities,Total Equity,Total Profit (Loss)
31 March 2025,400883300.0,105807942.0,46916973.0,1878797.0
31 March 2024,357903623.0,88404831.0,40554750.0,1707184.0
31 March 2023,313252694.0,71603166.0,34992047.0,1458282.0
31 March 2022,271293823.0,62751789.0,25985273.0,987685.0
31 March 2021,234427001.0,58808575.0,22497810.0,741642.0
31 December 2024,408613432.0,106647971.0,45041572.0,7005888.0
31 December 2023,353624124.0,87999161.0,38739121.0,5703743.0
31 December 2022,305727438.0,74434166.0,33505610.0,4260182.0
31 December 2021,265289081.0,61886476.0,25013934.0,3028205.0
30 September 2024,370722347.0,92771206.0,43490652.0,5107236.0
30 September 2023,319846454.0,82353685.0,37177504.0,4200176.0
30 September 2022,280002034.0,67494314.0,27541978.0,3205251.0
30 September 2021,251051724.0,57070552.0,24122079.0,2257285.0
30 June 2024,360955816.0,89708593.0,41671254.0,3394534.0
30 June 2023,313612591.0,84060191.0,35903461.0,2822128.0
30 June 2022,277342955.0,65428280.0,26505811.0,2131289.0
30 June 2021,247299611.0,57586806.0,23341917.0,1480502.0
